,part,oil,sensitive,pigmentation,wrinkle,hydration,file_name,class1,class2,class3,class1_area,class2_area,class3_area,total,total_area
0,1,3,1,-2,0,-2,00000NBC.jpg,0,0,15,0,0,1834,0,0
1,1,3,1,-2,0,-2,00001NBC.jpg,0,0,11,0,0,1535,0,0
2,0,4,1,1,-2,-2,00002NBC.jpg,1,0,0,621,0,0,3,1863
3,0,4,1,1,-2,-2,00003NBC.jpg,1,0,1,868,0,210,3,2604
4,3,-2,0,-2,1,2,00004NBC.jpg,1,0,0,378,0,0,3,1134
5,3,-2,1,-2,1,1,00005NBC.jpg,1,0,1,750,0,182,3,2250
6,2,4,0,1,1,-2,00006NBC.jpg,0,0,4,0,0,1331,0,0
7,2,3,0,1,1,-2,00007NBC.jpg,1,0,4,720,0,1142,3,2160
8,0,4,1,0,-2,-2,00008NBC.jpg,0,0,0,0,0,0,0,0
9,0,3,0,0,-2,-2,00009NBC.jpg,0,0,0,0,0,0,0,0
10,1,3,1,-2,0,-2,00010NBC.jpg,0,0,14,0,0,2019,0,0
11,1,3,1,-2,0,-2,00011NBC.jpg,0,0,3,0,0,736,0,0
12,0,4,1,1,-2,-2,00012NBC.jpg,1,0,0,675,0,0,3,2025
13,0,4,1,1,-2,-2,00013NBC.jpg,1,0,0,1560,0,0,3,4680
14,3,-2,0,-2,1,2,00014NBC.jpg,1,0,0,506,0,0,3,1518
15,3,-2,1,-2,1,1,00015NBC.jpg,1,0,0,910,0,0,3,2730
16,2,4,0,1,1,-2,00016NBC.jpg,0,0,4,0,0,982,0,0
17,2,3,0,1,1,-2,00017NBC.jpg,1,0,8,884,0,1940,3,2652
18,0,4,1,0,-2,-2,00018NBC.jpg,0,0,1,0,0,550,0,0
19,0,3,0,0,-2,-2,00019NBC.jpg,0,0,0,0,0,0,0,0
20,1,2,1,-2,0,-2,00020NBC.jpg,0,0,2,0,0,384,0,0
21,1,1,1,-2,0,-2,00021NBC.jpg,0,0,1,0,0,168,0,0
22,0,2,1,1,-2,-2,00022NBC.jpg,0,0,3,0,0,691,0,0
23,0,1,0,1,-2,-2,00023NBC.jpg,0,0,0,0,0,0,0,0
24,3,-2,1,-2,1,2,00024NBC.jpg,0,0,0,0,0,0,0,0
25,3,-2,1,-2,1,2,00025NBC.jpg,0,0,0,0,0,0,0,0
26,2,1,0,1,1,-2,00026NBC.jpg,0,0,1,0,0,143,0,0
27,2,1,0,1,1,-2,00027NBC.jpg,0,0,0,0,0,0,0,0
28,0,2,1,1,-2,-2,00028NBC.jpg,0,0,0,0,0,0,0,0
29,0,0,0,1,-2,-2,00029NBC.jpg,0,0,0,0,0,0,0,0
30,1,2,1,-2,0,-2,00030NBC.jpg,0,0,1,0,0,240,0,0
31,1,1,1,-2,0,-2,00031NBC.jpg,0,0,1,0,0,306,0,0
32,0,2,1,1,-2,-2,00032NBC.jpg,0,0,3,0,0,867,0,0
33,0,0,0,1,-2,-2,00033NBC.jpg,0,0,0,0,0,0,0,0
34,3,-2,1,-2,1,2,00034NBC.jpg,0,0,0,0,0,0,0,0
35,3,-2,1,-2,1,2,00035NBC.jpg,0,0,0,0,0,0,0,0
36,2,1,0,1,1,-2,00036NBC.jpg,0,0,2,0,0,381,0,0
37,2,1,0,1,1,-2,00037NBC.jpg,0,0,1,0,0,182,0,0
38,0,2,1,1,-2,-2,00038NBC.jpg,0,0,0,0,0,0,0,0
39,0,1,0,1,-2,-2,00039NBC.jpg,0,0,1,0,0,272,0,0
40,1,2,1,-2,4,-2,00040NBC.jpg,1,0,1,552,0,306,3,1656
41,1,2,0,-2,4,-2,00041NBC.jpg,0,0,1,0,0,255,0,0
42,0,1,1,1,-2,-2,00042NBC.jpg,0,0,0,0,0,0,0,0
43,0,1,1,1,-2,-2,00043NBC.jpg,0,0,0,0,0,0,0,0
